,0
location_of,0.83679366
manifestation_of,0.02578732
isa,0.41443992
affects,1.223906
associated_with,-0.47443315
interacts_with,1.623254
result_of,1.0461074
complicates,1.5664775
occurs_in,-0.5561781
uses,0.5244012
produces,1.0235473
degree_of,1.2740812
connected_to,1.7200913
process_of,1.4907156
co-occurs_with,1.2862217
disrupts,1.7027403
issue_in,0.034087043
part_of,2.1294715
measures,-0.824768
prevents,-0.3529068
causes,0.92060226
indicates,-0.50785697
treats,-0.024233744
evaluation_of,-0.43668297
diagnoses,-0.6002821
exhibits,0.029763708
ingredient_of,-1.1845373
property_of,0.41337556
manages,0.39649493
assesses_effect_of,-1.4257507
method_of,0.5509252
measurement_of,-0.42394364
precedes,1.4441195
consists_of,2.3579087
performs,0.4618085
conceptual_part_of,-0.65411127
analyzes,-1.5144391
carries_out,0.5235079
developmental_form_of,2.589837
contains,1.7457108
adjacent_to,0.9662899
interconnects,0.5137744
conceptually_related_to,1.2969637
surrounds,2.5445955
derivative_of,1.6325738
practices,0.5847831
